,Type,LongestShell,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight,Rings
0,0,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9
1,2,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10
2,2,0.46,0.345,0.11,0.4595,0.235,0.0885,0.1159999999999999,7
3,0,0.65,0.475,0.165,1.3875,0.58,0.3485,0.3095,9
4,2,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11
5,1,0.495,0.375,0.12,0.589,0.3075,0.1215,0.1405,8
6,1,0.255,0.19,0.07,0.0815,0.0279999999999999,0.016,0.031,5
7,2,0.67,0.525,0.18,1.4915,0.728,0.3429999999999999,0.381,9
8,0,0.595,0.43,0.21,1.5245,0.653,0.396,0.41,11
9,0,0.535,0.42,0.13,0.6990000000000001,0.3125,0.1565,0.2035,8
10,1,0.37,0.27,0.095,0.2175,0.0969999999999999,0.046,0.065,6
11,1,0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,8
12,0,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8
13,0,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11
14,2,0.66,0.525,0.18,1.4780000000000002,0.5815,0.381,0.372,10
15,1,0.435,0.33,0.095,0.3929999999999999,0.2189999999999999,0.075,0.0885,6
16,1,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9
17,1,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7
18,2,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9
19,2,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9
20,1,0.44,0.31,0.115,0.3625,0.134,0.0819999999999999,0.12,11
21,0,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9
22,2,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8
23,1,0.51,0.4,0.15,0.745,0.2865,0.1675,0.235,13
24,0,0.68,0.58,0.2,1.787,0.585,0.4529999999999999,0.6,19
25,2,0.63,0.505,0.15,1.3165,0.6325,0.2465,0.37,11
26,0,0.535,0.4,0.135,0.8215,0.3935,0.196,0.205,8
27,1,0.3,0.23,0.075,0.15,0.0605,0.042,0.045,5
28,0,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
