,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Adelie,2,39.1,18.7,181,3750,1
1,Adelie,2,39.5,17.4,186,3800,0
2,Adelie,2,40.3,18.0,195,3250,0
3,Adelie,2,36.7,19.3,193,3450,0
4,Adelie,2,39.3,20.6,190,3650,1
5,Adelie,2,38.9,17.8,181,3625,0
6,Adelie,2,39.2,19.6,195,4675,1
7,Adelie,2,41.1,17.6,182,3200,0
8,Adelie,2,38.6,21.2,191,3800,1
9,Adelie,2,34.6,21.1,198,4400,1
10,Adelie,2,36.6,17.8,185,3700,0
11,Adelie,2,38.7,19.0,195,3450,0
12,Adelie,2,42.5,20.7,197,4500,1
13,Adelie,2,34.4,18.4,184,3325,0
14,Adelie,2,46.0,21.5,194,4200,1
15,Adelie,0,37.8,18.3,174,3400,0
16,Adelie,0,37.7,18.7,180,3600,1
17,Adelie,0,35.9,19.2,189,3800,0
18,Adelie,0,38.2,18.1,185,3950,1
19,Adelie,0,38.8,17.2,180,3800,1
20,Adelie,0,35.3,18.9,187,3800,0
21,Adelie,0,40.6,18.6,183,3550,1
22,Adelie,0,40.5,17.9,187,3200,0
23,Adelie,0,37.9,18.6,172,3150,0
24,Adelie,0,40.5,18.9,180,3950,1
25,Adelie,1,39.5,16.7,178,3250,0
26,Adelie,1,37.2,18.1,178,3900,1
27,Adelie,1,39.5,17.8,188,3300,0
28,Adelie,1,40.9,18.9,184,3900,1
29,Adelie,1,36.4,17.0,195,3325,0
30,Adelie,1,39.2,21.1,196,4150,1
31,Adelie,1,38.8,20.0,190,3950,1
32,Adelie,1,42.2,18.5,180,3550,0
33,Adelie,1,37.6,19.3,181,3300,0
34,Adelie,1,39.8,19.1,184,4650,1
35,Adelie,1,36.5,18.0,182,3150,0
36,Adelie,1,40.8,18.4,195,3900,1
37,Adelie,1,36.0,18.5,186,3100,0
38,Adelie,1,44.1,19.7,196,4400,1
39,Adelie,1,37.0,16.9,185,3000,0
40,Adelie,1,39.6,18.8,190,4600,1
41,Adelie,1,41.1,19.0,182,3425,1
42,Adelie,1,36.0,17.9,190,3450,0
43,Adelie,1,42.3,21.2,191,4150,1
44,Adelie,0,39.6,17.7,186,3500,0
45,Adelie,0,40.1,18.9,188,4300,1
46,Adelie,0,35.0,17.9,190,3450,0
47,Adelie,0,42.0,19.5,200,4050,1
48,Adelie,0,34.5,18.1,187,2900,0
49,Adelie,0,41.4,18.6,191,3700,1
50,Adelie,0,39.0,17.5,186,3550,0
51,Adelie,0,40.6,18.8,193,3800,1
52,Adelie,0,36.5,16.6,181,2850,0
53,Adelie,0,37.6,19.1,194,3750,1
54,Adelie,0,35.7,16.9,185,3150,0
55,Adelie,0,41.3,21.1,195,4400,1
56,Adelie,0,37.6,17.0,185,3600,0
57,Adelie,0,41.1,18.2,192,4050,1
58,Adelie,0,36.4,17.1,184,2850,0
59,Adelie,0,41.6,18.0,192,3950,1
60,Adelie,0,35.5,16.2,195,3350,0
61,Adelie,0,41.1,19.1,188,4100,1
62,Adelie,2,35.9,16.6,190,3050,0
63,Adelie,2,41.8,19.4,198,4450,1
64,Adelie,2,33.5,19.0,190,3600,0
65,Adelie,2,39.7,18.4,190,3900,1
66,Adelie,2,39.6,17.2,196,3550,0
67,Adelie,2,45.8,18.9,197,4150,1
68,Adelie,2,35.5,17.5,190,3700,0
69,Adelie,2,42.8,18.5,195,4250,1
70,Adelie,2,40.9,16.8,191,3700,0
71,Adelie,2,37.2,19.4,184,3900,1
72,Adelie,2,36.2,16.1,187,3550,0
73,Adelie,2,42.1,19.1,195,4000,1
74,Adelie,2,34.6,17.2,189,3200,0
75,Adelie,2,42.9,17.6,196,4700,1
76,Adelie,2,36.7,18.8,187,3800,0
77,Adelie,2,35.1,19.4,193,4200,1
78,Adelie,1,37.3,17.8,191,3350,0
79,Adelie,1,41.3,20.3,194,3550,1
80,Adelie,1,36.3,19.5,190,3800,1
81,Adelie,1,36.9,18.6,189,3500,0
82,Adelie,1,38.3,19.2,189,3950,1
83,Adelie,1,38.9,18.8,190,3600,0
84,Adelie,1,35.7,18.0,202,3550,0
85,Adelie,1,41.1,18.1,205,4300,1
86,Adelie,1,34.0,17.1,185,3400,0
87,Adelie,1,39.6,18.1,186,4450,1
88,Adelie,1,36.2,17.3,187,3300,0
89,Adelie,1,40.8,18.9,208,4300,1
90,Adelie,1,38.1,18.6,190,3700,0
91,Adelie,1,40.3,18.5,196,4350,1
92,Adelie,1,33.1,16.1,178,2900,0
93,Adelie,1,43.2,18.5,192,4100,1
94,Adelie,0,35.0,17.9,192,3725,0
95,Adelie,0,41.0,20.0,203,4725,1
96,Adelie,0,37.7,16.0,183,3075,0
97,Adelie,0,37.8,20.0,190,4250,1
98,Adelie,0,37.9,18.6,193,2925,0
99,Adelie,0,39.7,18.9,184,3550,1
100,Adelie,0,38.6,17.2,199,3750,0
101,Adelie,0,38.2,20.0,190,3900,1
102,Adelie,0,38.1,17.0,181,3175,0
103,Adelie,0,43.2,19.0,197,4775,1
104,Adelie,0,38.1,16.5,198,3825,0
105,Adelie,0,45.6,20.3,191,4600,1
106,Adelie,0,39.7,17.7,193,3200,0
107,Adelie,0,42.2,19.5,197,4275,1
108,Adelie,0,39.6,20.7,191,3900,0
109,Adelie,0,42.7,18.3,196,4075,1
110,Adelie,2,38.6,17.0,188,2900,0
