,species,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,island_Biscoe,island_Dream,island_Torgersen,sex_FEMALE,sex_MALE
0,Adelie,39.1,18.7,181,3750,False,False,True,False,True
1,Adelie,39.5,17.4,186,3800,False,False,True,True,False
2,Adelie,40.3,18.0,195,3250,False,False,True,True,False
3,Adelie,36.7,19.3,193,3450,False,False,True,True,False
4,Adelie,39.3,20.6,190,3650,False,False,True,False,True
5,Adelie,38.9,17.8,181,3625,False,False,True,True,False
6,Adelie,39.2,19.6,195,4675,False,False,True,False,True
7,Adelie,41.1,17.6,182,3200,False,False,True,True,False
8,Adelie,38.6,21.2,191,3800,False,False,True,False,True
9,Adelie,34.6,21.1,198,4400,False,False,True,False,True
10,Adelie,36.6,17.8,185,3700,False,False,True,True,False
11,Adelie,38.7,19.0,195,3450,False,False,True,True,False
12,Adelie,42.5,20.7,197,4500,False,False,True,False,True
13,Adelie,34.4,18.4,184,3325,False,False,True,True,False
14,Adelie,46.0,21.5,194,4200,False,False,True,False,True
15,Adelie,37.8,18.3,174,3400,True,False,False,True,False
16,Adelie,37.7,18.7,180,3600,True,False,False,False,True
17,Adelie,35.9,19.2,189,3800,True,False,False,True,False
18,Adelie,38.2,18.1,185,3950,True,False,False,False,True
19,Adelie,38.8,17.2,180,3800,True,False,False,False,True
20,Adelie,35.3,18.9,187,3800,True,False,False,True,False
21,Adelie,40.6,18.6,183,3550,True,False,False,False,True
22,Adelie,40.5,17.9,187,3200,True,False,False,True,False
23,Adelie,37.9,18.6,172,3150,True,False,False,True,False
24,Adelie,40.5,18.9,180,3950,True,False,False,False,True
25,Adelie,39.5,16.7,178,3250,False,True,False,True,False
26,Adelie,37.2,18.1,178,3900,False,True,False,False,True
27,Adelie,39.5,17.8,188,3300,False,True,False,True,False
28,Adelie,40.9,18.9,184,3900,False,True,False,False,True
29,Adelie,36.4,17.0,195,3325,False,True,False,True,False
30,Adelie,39.2,21.1,196,4150,False,True,False,False,True
31,Adelie,38.8,20.0,190,3950,False,True,False,False,True
32,Adelie,42.2,18.5,180,3550,False,True,False,True,False
33,Adelie,37.6,19.3,181,3300,False,True,False,True,False
34,Adelie,39.8,19.1,184,4650,False,True,False,False,True
35,Adelie,36.5,18.0,182,3150,False,True,False,True,False
36,Adelie,40.8,18.4,195,3900,False,True,False,False,True
37,Adelie,36.0,18.5,186,3100,False,True,False,True,False
38,Adelie,44.1,19.7,196,4400,False,True,False,False,True
39,Adelie,37.0,16.9,185,3000,False,True,False,True,False
40,Adelie,39.6,18.8,190,4600,False,True,False,False,True
41,Adelie,41.1,19.0,182,3425,False,True,False,False,True
42,Adelie,36.0,17.9,190,3450,False,True,False,True,False
43,Adelie,42.3,21.2,191,4150,False,True,False,False,True
44,Adelie,39.6,17.7,186,3500,True,False,False,True,False
45,Adelie,40.1,18.9,188,4300,True,False,False,False,True
46,Adelie,35.0,17.9,190,3450,True,False,False,True,False
47,Adelie,42.0,19.5,200,4050,True,False,False,False,True
48,Adelie,34.5,18.1,187,2900,True,False,False,True,False
49,Adelie,41.4,18.6,191,3700,True,False,False,False,True
50,Adelie,39.0,17.5,186,3550,True,False,False,True,False
51,Adelie,40.6,18.8,193,3800,True,False,False,False,True
52,Adelie,36.5,16.6,181,2850,True,False,False,True,False
53,Adelie,37.6,19.1,194,3750,True,False,False,False,True
54,Adelie,35.7,16.9,185,3150,True,False,False,True,False
55,Adelie,41.3,21.1,195,4400,True,False,False,False,True
56,Adelie,37.6,17.0,185,3600,True,False,False,True,False
57,Adelie,41.1,18.2,192,4050,True,False,False,False,True
58,Adelie,36.4,17.1,184,2850,True,False,False,True,False
59,Adelie,41.6,18.0,192,3950,True,False,False,False,True
60,Adelie,35.5,16.2,195,3350,True,False,False,True,False
61,Adelie,41.1,19.1,188,4100,True,False,False,False,True
62,Adelie,35.9,16.6,190,3050,False,False,True,True,False
63,Adelie,41.8,19.4,198,4450,False,False,True,False,True
64,Adelie,33.5,19.0,190,3600,False,False,True,True,False
65,Adelie,39.7,18.4,190,3900,False,False,True,False,True
66,Adelie,39.6,17.2,196,3550,False,False,True,True,False
67,Adelie,45.8,18.9,197,4150,False,False,True,False,True
68,Adelie,35.5,17.5,190,3700,False,False,True,True,False
69,Adelie,42.8,18.5,195,4250,False,False,True,False,True
70,Adelie,40.9,16.8,191,3700,False,False,True,True,False
71,Adelie,37.2,19.4,184,3900,False,False,True,False,True
72,Adelie,36.2,16.1,187,3550,False,False,True,True,False
73,Adelie,42.1,19.1,195,4000,False,False,True,False,True
74,Adelie,34.6,17.2,189,3200,False,False,True,True,False
75,Adelie,42.9,17.6,196,4700,False,False,True,False,True
76,Adelie,36.7,18.8,187,3800,False,False,True,True,False
77,Adelie,35.1,19.4,193,4200,False,False,True,False,True
78,Adelie,37.3,17.8,191,3350,False,True,False,True,False
79,Adelie,41.3,20.3,194,3550,False,True,False,False,True
80,Adelie,36.3,19.5,190,3800,False,True,False,False,True
81,Adelie,36.9,18.6,189,3500,False,True,False,True,False
82,Adelie,38.3,19.2,189,3950,False,True,False,False,True
83,Adelie,38.9,18.8,190,3600,False,True,False,True,False
84,Adelie,35.7,18.0,202,3550,False,True,False,True,False
85,Adelie,41.1,18.1,205,4300,False,True,False,False,True
86,Adelie,34.0,17.1,185,3400,False,True,False,True,False
87,Adelie,39.6,18.1,186,4450,False,True,False,False,True
88,Adelie,36.2,17.3,187,3300,False,True,False,True,False
89,Adelie,40.8,18.9,208,4300,False,True,False,False,True
90,Adelie,38.1,18.6,190,3700,False,True,False,True,False
91,Adelie,40.3,18.5,196,4350,False,True,False,False,True
92,Adelie,33.1,16.1,178,2900,False,True,False,True,False
93,Adelie,43.2,18.5,192,4100,False,True,False,False,True
94,Adelie,35.0,17.9,192,3725,True,False,False,True,False
95,Adelie,41.0,20.0,203,4725,True,False,False,False,True
96,Adelie,37.7,16.0,183,3075,True,False,False,True,False
97,Adelie,37.8,20.0,190,4250,True,False,False,False,True
98,Adelie,37.9,18.6,193,2925,True,False,False,True,False
99,Adelie,39.7,18.9,184,3550,True,False,False,False,True
100,Adelie,38.6,17.2,199,3750,True,False,False,True,False
101,Adelie,38.2,20.0,190,3900,True,False,False,False,True
102,Adelie,38.1,17.0,181,3175,True,False,False,True,False
103,Adelie,43.2,19.0,197,4775,True,False,False,False,True
104,Adelie,38.1,16.5,198,3825,True,False,False,True,False
105,Adelie,45.6,20.3,191,4600,True,False,False,False,True
106,Adelie,39.7,17.7,193,3200,True,False,False,True,False
107,Adelie,42.2,19.5,197,4275,True,False,False,False,True
108,Adelie,39.6,20.7,191,3900,True,False,False,True,False
109,Adelie,42.7,18.3,196,4075,True,False,False,False,True
110,Adelie,38.6,17.0,188,2900,False,False,True,True,False
111,Adelie,37.3,20.5,199,3775,False,False,True,False,True
112,Adelie,35.7,17.0,189,3350,False,False,True,True,False
113,Adelie,41.1,18.6,189,3325,False,False,True,False,True
114,Adelie,36.2,17.2,187,3150,False,False,True,True,False
115,Adelie,37.7,19.8,198,3500,False,False,True,False,True
116,Adelie,40.2,17.0,176,3450,False,False,True,True,False
117,Adelie,41.4,18.5,202,3875,False,False,True,False,True
118,Adelie,35.2,15.9,186,3050,False,False,True,True,False
119,Adelie,40.6,19.0,199,4000,False,False,True,False,True
120,Adelie,38.8,17.6,191,3275,False,False,True,True,False
121,Adelie,41.5,18.3,195,4300,False,False,True,False,True
122,Adelie,39.0,17.1,191,3050,False,False,True,True,False
123,Adelie,44.1,18.0,210,4000,False,False,True,False,True
124,Adelie,38.5,17.9,190,3325,False,False,True,True,False
125,Adelie,43.1,19.2,197,3500,False,False,True,False,True
126,Adelie,36.8,18.5,193,3500,False,True,False,True,False
127,Adelie,37.5,18.5,199,4475,False,True,False,False,True
128,Adelie,38.1,17.6,187,3425,False,True,False,True,False
129,Adelie,41.1,17.5,190,3900,False,True,False,False,True
130,Adelie,35.6,17.5,191,3175,False,True,False,True,False
131,Adelie,40.2,20.1,200,3975,False,True,False,False,True
132,Adelie,37.0,16.5,185,3400,False,True,False,True,False
133,Adelie,39.7,17.9,193,4250,False,True,False,False,True
134,Adelie,40.2,17.1,193,3400,False,True,False,True,False
135,Adelie,40.6,17.2,187,3475,False,True,False,False,True
136,Adelie,32.1,15.5,188,3050,False,True,False,True,False
137,Adelie,40.7,17.0,190,3725,False,True,False,False,True
138,Adelie,37.3,16.8,192,3000,False,True,False,True,False
139,Adelie,39.0,18.7,185,3650,False,True,False,False,True
140,Adelie,39.2,18.6,190,4250,False,True,False,False,True
141,Adelie,36.6,18.4,184,3475,False,True,False,True,False
142,Adelie,36.0,17.8,195,3450,False,True,False,True,False
143,Adelie,37.8,18.1,193,3750,False,True,False,False,True
144,Adelie,36.0,17.1,187,3700,False,True,False,True,False
145,Adelie,41.5,18.5,201,4000,False,True,False,False,True
146,Chinstrap,46.5,17.9,192,3500,False,True,False,True,False
147,Chinstrap,50.0,19.5,196,3900,False,True,False,False,True
148,Chinstrap,51.3,19.2,193,3650,False,True,False,False,True
149,Chinstrap,45.4,18.7,188,3525,False,True,False,True,False
150,Chinstrap,52.7,19.8,197,3725,False,True,False,False,True
